iter	Logloss
0	0.6887992047
1	0.6842481551
2	0.6782881983
3	0.6721592635
4	0.6679204657
5	0.6626944985
6	0.6568093096
7	0.652350255
8	0.646713968
9	0.6429126087
10	0.6384657863
11	0.6333147133
12	0.6301090187
13	0.6256687596
14	0.6213667638
15	0.6168652048
16	0.6127297057
17	0.6083416957
18	0.6038598848
19	0.6004027405
20	0.5963779289
21	0.5920807268
22	0.588420161
23	0.5842049413
24	0.5811707428
25	0.5775772418
26	0.5732884045
27	0.5703739073
28	0.5668491485
29	0.5630093296
30	0.5602657221
31	0.557533393
32	0.5549108338
33	0.5523881834
34	0.5492960356
35	0.5464287964
36	0.5430685868
37	0.5406608898
38	0.5383588485
39	0.5362051956
40	0.5340607379
41	0.5309561322
42	0.5279677764
43	0.5255181422
44	0.5230119087
45	0.5209572576
46	0.5187904343
47	0.5166798762
48	0.5145142204
49	0.5116996257
50	0.5097382708
51	0.5077764088
52	0.5058240258
53	0.5045189177
54	0.501693802
55	0.499620061
56	0.4978145816
57	0.4957919959
58	0.4934274298
59	0.4913112083
60	0.4895755172
61	0.4879614126
62	0.4854360304
63	0.4840600079
64	0.4820663494
65	0.4804036972
66	0.4782668695
67	0.4765506654
68	0.4748972543
69	0.4735414638
70	0.4722540899
71	0.4710510913
72	0.4696582254
73	0.4683193473
74	0.4671542055
75	0.4656663861
76	0.4646118598
77	0.4634035549
78	0.4614707032
79	0.459560859
80	0.4580591626
81	0.4570788129
82	0.4554633932
83	0.4539964077
84	0.4529430612
85	0.4519730009
86	0.4504192125
87	0.4496639233
88	0.4486629704
89	0.4470117079
90	0.4453813354
91	0.4444420629
92	0.4428729185
93	0.4420022637
94	0.4408317148
95	0.4398259428
96	0.4388207504
97	0.4379621686
98	0.4371293928
99	0.4362100988
100	0.435180535
101	0.4342259544
102	0.4332057768
103	0.4326272298
104	0.4322372948
105	0.4314572778
106	0.4302128584
107	0.4289356893
108	0.4286140802
109	0.4277842437
110	0.4270283837
111	0.4262871291
112	0.4252970789
113	0.4241888893
114	0.4234839916
115	0.4226112243
116	0.4222143532
117	0.421550455
118	0.4207879321
119	0.4196349037
120	0.4188347997
121	0.4185545082
122	0.41784859
